Date,Open,High,Low,Close,Adj Close,Volume,Return,Log_Return,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_5,Ret_Lag_10,Daily_Range_Pct,Close_to_MA_5,Close_to_MA_10,Close_to_MA_20,Close_to_MA_50,Close_to_EMA_10,Close_to_EMA_20,Rolling_Std_10,Rolling_Std_20,RSI_14,MACD_Pct,Volume_to_MA_10,Target_Close_Next,Target_Return_Next,Target_Direction
2014-05-20,674.0,686.0,666.0,670.5,670.5,65289.0,-0.005930318754633013,-0.005947972926077309,0.0003707823507601571,-0.005897530409141205,-0.004038179148311283,-0.007795889440113446,0.014558058925476569,0.02982848620432513,0.9923042770460263,0.9641239485225394,0.9577887293764732,0.9688746315241894,0.9748397844192205,0.9674791627164082,0.008203196411911601,0.013191133335207248,38.2257041430153,-0.008340839861484383,2.1013044443800073,664.25,-0.009321401938851559,0.0
2014-05-21,668.0,675.5,663.0,664.25,664.25,66296.0,-0.009321401938851559,-0.009365118081810283,-0.005930318754633013,0.0003707823507601571,-0.005897530409141205,-0.027142857142857135,-0.0027331738981892784,0.01881821603312006,0.9879527032051758,0.96421831905937,0.9496917165579484,0.9605026280971419,0.971804085698989,0.9622677324794174,0.00793329506139001,0.01328317906507552,35.92289430693944,-0.008866432575435101,1.7597048401438173,659.25,-0.007527286413248069,0.0
2014-05-22,665.5,669.75,654.0,659.25,659.25,67073.0,-0.007527286413248069,-0.007555759406526861,-0.009321401938851559,-0.005930318754633013,0.0003707823507601571,-0.004038179148311283,-0.004110996916752319,0.023890784982935155,0.9860892977339017,0.9664296708934985,0.9445519019987104,0.9538174399930553,0.9707567664879816,0.9591328017797329,0.007755062552659359,0.012546152700102493,34.15044579065524,-0.009238383433167111,1.5124551549029923,652.5,-0.010238907849829393,0.0
2014-05-23,660.25,663.5,651.25,652.5,652.5,58007.0,-0.010238907849829393,-0.010291686036547636,-0.007527286413248069,-0.009321401938851559,-0.005930318754633013,-0.005897530409141205,-0.01754385964912286,0.018773946360153258,0.9823848238482384,0.9652366863905325,0.9380896756222482,0.9450837539740591,0.9677113804231375,0.9539172669494691,0.0072595106020198474,0.011877672189193004,31.864686907764792,-0.00968322608687642,1.157463943362922,652.5,0.0,0.0
2014-05-26,660.25,663.5,651.25,652.5,652.5,58007.0,0.0,0.0,-0.010238907849829393,-0.007527286413248069,-0.009321401938851559,0.0003707823507601571,-0.011904761904761862,0.018773946360153258,0.9889360412246135,0.9728641717608468,0.9413207343023047,0.9456864379144172,0.9734260318465023,0.9581223045102792,0.007683522329706747,0.011877672189193004,31.864686907764792,-0.009357896115373028,1.0379801197111715,641.0,-0.017624521072796884,0.0
2014-05-27,645.0,648.5,640.25,641.0,641.0,53220.0,-0.017624521072796884,-0.017781682276178382,0.0,-0.010238907849829393,-0.007527286413248069,-0.005930318754633013,-0.007795889440113446,0.012870514820592824,0.9802722128765866,0.9641997593261132,0.9292211792846011,0.9304080877283382,0.963934039950898,0.9465332113127464,0.008294108093181473,0.011763117899730833,28.142787852322783,-0.009904786642264634,0.8699603761001049,638.75,-0.0035101404056162577,0.0
2014-05-28,637.25,641.75,633.0,638.75,638.75,44886.0,-0.0035101404056162577,-0.0035163154027558832,-0.017624521072796884,0.0,-0.010238907849829393,-0.009321401938851559,-0.027142857142857135,0.0136986301369863,0.9845098643649816,0.966960602505393,0.9309697753648273,0.9292193103046967,0.96748995040963,0.9483398431694247,0.005288672657816159,0.011430468491349557,27.466809921056154,-0.00979994091573106,0.7598343755395701,632.5,-0.009784735812133127,0.0
2014-05-29,638.5,645.0,629.75,632.5,632.5,49662.0,-0.009784735812133127,-0.009832920916238946,-0.0035101404056162577,-0.017624521072796884,0.0,-0.007527286413248069,-0.004038179148311283,0.024110671936758893,0.9829823607117879,0.9641768292682927,0.926332747510252,0.9220385433977667,0.9653913031812908,0.9445424800599929,0.005319055367609925,0.010964438581720741,25.625527537149082,-0.009814899745188548,0.8516074600964262,627.25,-0.008300395256916948,0.0
2014-05-30,633.0,637.0,625.5,627.25,627.25,48580.0,-0.008300395256916948,-0.008335035355143582,-0.009784735812133127,-0.0035101404056162577,-0.017624521072796884,-0.010238907849829393,-0.005897530409141205,0.018333997608609008,0.9825344611528822,0.9630738522954092,0.9240911936945233,0.9161481611310724,0.964855245165452,0.9423834140901286,0.005320682087034092,0.01014808669913123,24.160384622200596,-0.009731953855795563,0.8325293090417887,620.75,-0.010362694300518172,0.0
2014-06-02,624.75,626.75,616.25,620.75,620.75,62437.0,-0.010362694300518172,-0.010416760858255715,-0.008300395256916948,-0.009784735812133127,-0.0035101404056162577,0.0,0.0003707823507601571,0.016915022150624244,0.9821216675895895,0.9610248867902621,0.9213358070500928,0.9091441669046626,0.9627589401484836,0.9386413768632829,0.004669495924820345,0.008288941959664061,22.449017260659502,-0.009729605314550938,1.0887825939869757,612.5,-0.01329037454691906,0.0
