Date,Time,Headline,Publisher,URL,Topic,Source_Weight,Raw_Bullish,Raw_Bearish,Weighted_Bullish,Weighted_Bearish,NSS
2026-08-11,10:14:47,"Goliath Intercepts Up To 10.32 g/t Au Over 6.00 Meters Within The New 320 Meter Expansion Area Of Golden Gate Zone To The Northeast, Remains Open, On High-Grade Gold Surebet Discovery, Golden Triangle, B.C.",Financial Post,https://financialpost.com/globe-newswire/goliath-intercepts-up-to-10-32-g-t-au-over-6-00-meters-within-the-new-320-meter-expansion-area-of-golden-gate-zone-to-the-northeast-remains-open-on-high-grade-gold-surebet-discovery-golden-triangle,Macro,0.5,0.2618873119354248,0.008542458526790142,0.1309436559677124,0.004271229263395071,0.12667242670431733
2026-08-11,10:43:37,Barrick Mining appoints Sebastiaan Bock to lead Rest of World operations,Advfn.com,https://investorshub.advfn.com/market-news/article/33966/barrick-mining-appoints-sebastiaan-bock-to-lead-rest-of-world-operations,Macro,0.5,0.03912235051393509,0.02686256356537342,0.019561175256967545,0.01343128178268671,0.006129893474280834
2026-08-11,10:45:00,"Blue Moon Metals Acquires 33 Tungsten and Antimony Projects in the Western United States Becoming a Significant U.S. Tungsten, Germanium, Gallium and Antimony Owner in the U.S.",PRNewswire,https://www.prnewswire.com/news-releases/blue-moon-metals-acquires-33-tungsten-and-antimony-projects-in-the-western-united-states-becoming-a-significant-us-tungsten-germanium-gallium-and-antimony-owner-in-the-us-302847671.html,Supply,0.5,0.5893993377685547,0.008025191724300385,0.29469966888427734,0.004012595862150192,0.29068707302212715
2026-08-11,12:03:36,FCC proposes import ban on Chinese optical transceivers — blockade targets key AI interconnects as China holds 56% global market share,Tom's Hardware UK,https://www.tomshardware.com/tech-industry/fcc-proposes-import-ban-on-chinese-optical-transceivers-blockade-targets-key-ai-interconnects-as-china-holds-56-percent-global-market-share,Macro,0.5,0.03227786347270012,0.6602917909622192,0.01613893173635006,0.3301458954811096,-0.31400696374475956
2026-08-11,13:00:01,Zap Rocks. Add Water. Get Clean Hydrogen,Ieee.org,https://spectrum.ieee.org/stimulated-geologic-hydrogen,Supply,0.5,0.09866303950548172,0.0156752560287714,0.04933151975274086,0.0078376280143857,0.04149389173835516
2026-08-11,13:14:16,"Critical minerals being prioritised in trade, investment engagements: Govt tells Parliament",The Times of India,https://economictimes.indiatimes.com/industry/indl-goods/svs/metals-mining/critical-minerals-being-prioritised-in-trade-investment-engagements-govt-tells-parliament/articleshow/133155781.cms,Macro,0.5,0.03400111198425293,0.02469024993479252,0.017000555992126465,0.01234512496739626,0.0046554310247302055
2026-08-11,13:48:58,Drilling Begins at One of the Largest Undeveloped Palladium-Gold-Platinum Deposits,Financial Post,https://financialpost.com/globe-newswire/drilling-begins-at-one-of-the-largest-undeveloped-palladium-gold-platinum-deposits,Supply,0.5,0.1502656787633896,0.00822062324732542,0.0751328393816948,0.00411031162366271,0.07102252775803208
2026-08-11,14:00:00,Carissa spinarum L. aqueous root extracts ameliorate oxidative stress-induced infertility in adult male Wistar rats,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0355380,Macro,0.5,0.10136362165212631,0.03889327123761177,0.050681810826063156,0.019446635618805885,0.03123517520725727
2026-08-11,14:00:00,Comparison of non-thermally extracted polysaccharides from fresh wolfberry with conventionally extracted polysaccharides from dried wolfberry,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0355472,Macro,0.5,0.06615128368139267,0.01594589836895466,0.033075641840696335,0.00797294918447733,0.025102692656219006
2026-08-11,14:30:04,"Ötzi the Iceman Still Has Living Yeast After 5,300 Years, and Some Can Break Down His Preservative",Medical Daily,https://www.medicaldaily.com/otzi-iceman-microbiome-living-yeast-study-477155,Supply,0.5,0.05759517848491669,0.02880585379898548,0.028797589242458344,0.01440292689949274,0.014394662342965603
