Date,Close,Volume,Log_Return_1d,Log_Return_7d,Log_Return_14d,Log_Return_30d,Log_Return_60d,Log_Return_90d,Log_Return_120d,RSI_14,MACD_Hist,ATR_14_Pct,BB_Width,Volatility_30d,Close_to_SMA20,Close_to_SMA50,Close_to_SMA200,Volume_Change_1d,Bullish_FVG,Bearish_FVG,Swing_High,Swing_Low,Last_Swing_High_Price,Last_Swing_Low_Price,Bullish_BOS,Bearish_BOS
2021-05-22,7.999999979801942e-06,1229821215,0.0,-0.6931471805599453,-0.6931471805599453,1.3862943611198906,inf,inf,inf,45.88929989886265,-1.6796544990610152e-06,0.6176079145162238,271.85492814331445,8.143815673759441,-0.4029850776659435,0.3559321971192552,4.423728788477021,-0.20513495227125522,False,False,False,True,3.899999865097925e-05,6.000000212225132e-06,False,False
2021-05-23,7.999999979801942e-06,1585032040,0.0,-0.8109302541119406,-0.6931471805599453,2.0794415416798357,inf,inf,inf,45.88929989886265,-1.7190138281263652e-06,0.6002787747198818,257.5473785575506,7.698493739127321,-0.4160583970680208,0.320132007257493,4.2805280290299725,0.2888312712998693,False,False,False,False,3.899999865097925e-05,6.000000212225132e-06,False,False
2021-05-24,1.1000000085914508e-05,2179651359,0.31845374145370164,-0.3746934391062437,-1.157452807589634,2.3978952831335376,inf,inf,inf,50.52277325781667,-1.4871669816816454e-06,0.4313570931107813,238.40882403533143,7.742416763763945,-0.2226148370147817,0.751592366546538,6.006369466186152,0.3751465610751945,False,False,False,False,3.899999865097925e-05,6.000000212225132e-06,False,False
2021-05-25,9.000000318337698e-06,1415340765,-0.20067066790170623,-0.57536410700795,-1.2367625782513627,2.197224615231831,inf,inf,inf,47.5966458962884,-1.4131859100165949e-06,0.5054290659653699,222.32155319630812,7.799917192984839,-0.37931032519937125,0.3931888994391017,4.572755597756407,-0.3506572694959148,False,False,False,False,3.899999865097925e-05,6.000000212225132e-06,False,False
2021-05-26,9.999999747378752e-06,994520516,0.10536045502484646,0.10536045502484646,-0.5877867255350988,2.302585070256678,inf,inf,inf,49.18147553597423,-1.2473563809096957e-06,0.4295371696985355,204.43265991703475,7.796122154205045,-0.3288590792472214,0.5015014601846933,5.006005840738774,-0.29732786577372416,False,False,False,False,3.899999865097925e-05,6.000000212225132e-06,False,False
2021-05-27,9.000000318337698e-06,679602960,-0.10536045502484652,-0.10536045502484652,-0.8472978170779327,2.197224615231831,inf,inf,inf,47.63019431082226,-1.1574433532690972e-06,0.4511097465773375,190.78493719838377,7.817809334457108,-0.40789471794678606,0.31578951611120043,4.263158064444801,-0.3166526491244349,False,False,True,False,1.2000000424450263e-05,6.000000212225132e-06,False,False
2021-05-28,7.999999979801942e-06,690703669,-0.11778307355199538,0.0,-0.8649973956019792,2.0794415416798357,inf,inf,inf,46.06542910178838,-1.1171887179967006e-06,0.48017716688154816,200.36489804445114,7.842453679638618,-0.4594594627812078,0.14285713654636326,3.571428546185453,0.016334109256969764,False,False,False,False,1.2000000424450263e-05,6.000000212225132e-06,False,False
2021-05-29,7.999999979801942e-06,502184994,0.0,0.0,-0.6931471805599453,2.0794415416798357,inf,inf,inf,46.06542910178838,-1.0438052310217934e-06,0.45480736823209084,209.79119631050142,7.842453679638618,-0.44444444795329746,0.11731842972230508,3.4692737188892204,-0.27293712696348804,False,True,False,False,1.2000000424450263e-05,6.000000212225132e-06,False,False
2021-05-30,7.999999979801942e-06,440967883,0.0,0.0,-0.8109302541119406,1.3862943611198906,inf,inf,inf,46.06542910178838,-9.511250619983634e-07,0.4223211276440843,184.02933160405567,7.514309384073298,-0.38697318194579144,0.09289616909231017,3.371584676369241,-0.12190151384730541,False,False,False,False,1.2000000424450263e-05,6.000000212225132e-06,False,False
2021-05-31,9.000000318337698e-06,910298126,0.11778307355199531,-0.20067066790170623,-0.57536410700795,1.504077434671886,inf,inf,inf,48.191237400140444,-7.852230622813618e-07,0.3644555183126324,147.99181362386315,7.516423693886259,-0.24686190080282125,0.20000003819877737,3.8000001527951093,1.064318425657317,False,False,False,False,1.2000000424450263e-05,6.000000212225132e-06,False,False
2021-06-01,9.000000318337698e-06,795576484,0.0,0.0,-0.57536410700795,1.504077434671886,inf,inf,inf,48.19123740014044,-6.441518978224314e-07,0.34635949163288,147.3650065436145,7.516423693886259,-0.21739127855875143,0.1718750364291928,3.6875001457167715,-0.12602645081134656,False,False,False,True,1.2000000424450263e-05,7.000000096013537e-06,False,False
2021-06-02,9.000000318337698e-06,1190841704,0.0,-0.10536045502484652,0.0,1.504077434671886,inf,inf,inf,48.191237400140444,-5.245712509263543e-07,0.32955603106918396,134.2838457507404,7.516423693886259,-0.17431190134388944,0.14503820271871656,3.5801528108748664,0.4968286870580756,False,False,False,False,1.2000000424450263e-05,7.000000096013537e-06,False,False
2021-06-03,9.999999747378752e-06,841784028,0.10536045502484646,0.10536045502484646,0.0,1.6094378896967325,inf,inf,inf,50.62200786867123,-3.5971582783499295e-07,0.28255755305205404,120.7259623137434,7.516562769747091,-0.043062232605296,0.24069475247171282,3.962779009886851,-0.2931184512832614,False,False,False,False,1.2000000424450263e-05,7.000000096013537e-06,False,False
