Date,Close,Volume,Log_Return_1d,Log_Return_7d,Log_Return_14d,Log_Return_30d,Log_Return_60d,Log_Return_90d,Log_Return_120d,RSI_14,MACD_Hist,ATR_14_Pct,BB_Width,Volatility_30d,Close_to_SMA20,Close_to_SMA50,Close_to_SMA200,Volume_Change_1d,Bullish_FVG,Bearish_FVG,Swing_High,Swing_Low,Last_Swing_High_Price,Last_Swing_Low_Price,Bullish_BOS,Bearish_BOS
2018-05-27,0.1935569941997528,58991000,-0.015431322048083486,-0.2801365412585227,-0.39003515408378386,-0.39908499242110745,0.1900357217102564,-0.5584645380935702,-1.1590262639095181,31.117085050392717,-0.008035000541693399,0.10829078684569234,61.148058271504134,1.2223084285636603,-0.2289258743179491,-0.2795222633105732,-0.4072065677315677,-0.026814525441959614,False,True,False,False,0.2611689865589142,0.23478099703788757,False,False
2018-05-28,0.17478300631046295,95106200,-0.10202677217640106,-0.3532648959561171,-0.4475150838906856,-0.716635745408425,0.17391571369447845,-0.652184021873901,-1.3441592460477052,27.715824673842008,-0.008202077636441828,0.11992858602969696,61.618644951549825,0.944338182285827,-0.2817454568665927,-0.35028426861053474,-0.46587175904021766,0.612215422691597,False,True,False,False,0.2611689865589142,0.23478099703788757,False,False
2018-05-29,0.20318999886512756,185184000,0.1505962557177065,-0.09932433048061647,-0.24713608148660882,-0.5859119863913175,0.3222881263439941,-0.430722147957245,-1.1207324052283392,38.64408041738161,-0.005892036622455684,0.10795146825710741,56.597493293229675,1.1152068784822289,-0.14382852050333494,-0.24748977354062648,-0.3807274340549985,0.9471285783681822,False,False,False,False,0.2611689865589142,0.23478099703788757,False,False
2018-05-30,0.21114300191402435,222612000,0.03839414179800816,0.03995543875099466,-0.19410563594243022,-0.48612145112253,0.30319899322647553,-0.36579708954365125,-0.9239442710581843,41.31891146472243,-0.003442378817492226,0.10216148640270385,53.31841661846881,1.1223536967894883,-0.09391050018349831,-0.22119692293053178,-0.35828510871643626,0.20211249351995852,True,False,False,False,0.2611689865589142,0.23478099703788757,False,False
2018-05-31,0.22521400451660156,202076000,0.06451544324300669,0.07476948933709625,-0.07873913122248424,-0.4654157982705104,0.4013088703996697,-0.26484018545694604,-0.8354595624940205,45.819425012475556,-0.0006353447063745764,0.09650214508572758,52.6887424385118,1.1384963118221691,-0.02623214433871801,-0.17290705049083477,-0.31760669905212985,-0.09225019316119532,False,False,False,True,0.2611689865589142,0.174002006649971,False,False
2018-06-01,0.22250699996948242,130538000,-0.012092519702237571,0.10337155409865699,-0.0985176015426144,-0.5150637227801712,0.35263761715937053,-0.2891304084347025,-0.6392691671605105,45.102760888179354,0.0011792514426953518,0.09462503093373376,50.880913102700276,1.1224259106345986,-0.02775827403320509,-0.18346463254084788,-0.3278119596160457,-0.35401532096834853,False,False,False,False,0.2611689865589142,0.174002006649971,False,False
2018-06-02,0.227742001414299,116435000,0.023254853849891066,0.1472100806818905,-0.06596260495891505,-0.4845028344926061,0.2781234959622474,-0.2781889637029533,-0.5393016524459759,46.83460029264918,0.0027808350911152045,0.0890733842735079,46.04324426620823,1.1308362099711071,0.00792047665070704,-0.1659194180894196,-0.3140849495758523,-0.10803750631999876,False,False,False,False,0.2611689865589142,0.174002006649971,False,False
2018-06-03,0.2281540036201477,117208000,0.0018074399137568726,0.1644488426437307,-0.11568769861479195,-0.4565885685435925,0.38430156673668336,-0.2658033534536865,-0.6541049304934765,46.976373433306826,0.0038508183398207677,0.08620673615253396,42.273366286394385,1.1319340021818032,0.019963726273303114,-0.16607813075616595,-0.3149250232341363,0.006638897238802732,False,False,False,False,0.2611689865589142,0.174002006649971,False,False
2018-06-04,0.2140119969844818,115605000,-0.06398878128641095,0.2024868335337208,-0.15077806242239639,-0.537524370243386,0.3637112887913346,-0.2877089483793414,-0.5723033057740915,42.761239831002094,0.0035939348294519446,0.0916595297186091,40.066386311631206,1.1381734991864785,-0.03328739674928808,-0.21734622233573275,-0.3591826751558683,-0.013676540850453889,False,False,False,False,0.2611689865589142,0.174002006649971,False,False
2018-06-05,0.2204670011997223,119846000,0.029715955138872735,0.08160653295488694,-0.01771779752572948,-0.46224513678053725,0.42280762939652866,-0.11477731262313409,-0.3953460588834493,45.17919073006744,0.0038251250079468294,0.08810003384368095,37.655597068258935,1.1454253706338737,0.004013014630900724,-0.1916007487779835,-0.34177306355477977,0.0366852644781801,False,True,False,False,0.2611689865589142,0.174002006649971,False,False
