Date,Close,Volume,Log_Return_1d,Log_Return_7d,Log_Return_14d,Log_Return_30d,Log_Return_60d,Log_Return_90d,Log_Return_120d,RSI_14,MACD_Hist,ATR_14_Pct,BB_Width,Volatility_30d,Close_to_SMA20,Close_to_SMA50,Close_to_SMA200,Volume_Change_1d,Bullish_FVG,Bearish_FVG,Swing_High,Swing_Low,Last_Swing_High_Price,Last_Swing_Low_Price,Bullish_BOS,Bearish_BOS
2019-09-17,0.059776999056339264,4076488,0.025344804005312326,0.13435141210316148,0.1858239981553984,-0.11837585352330625,-0.5332826934740306,-1.2252710800800526,-1.488410523301639,51.98581991543167,0.0020237951233876283,0.06897047588407498,25.83846709973967,0.9185951812278528,0.12482134092372561,-0.07974394007694682,-0.6049283804215195,-0.1220904151545752,False,False,False,False,0.05759600177407265,0.04817799851298332,False,False
2019-09-18,0.062233999371528625,5307977,0.04028050829430826,0.08669295387928057,0.2310522859300831,-0.11209292416148045,-0.5288326746779661,-1.1235946002347472,-1.2984441653808292,55.607046458367684,0.002123372028722748,0.06597567801284573,28.971661850739565,0.9221162563837388,0.15803575571639453,-0.033041057896428576,-0.5839394144934172,0.3020955783507764,False,False,False,False,0.05759600177407265,0.04817799851298332,False,False
2019-09-19,0.0585240013897419,4895075,-0.06146451383401425,0.09395102666681622,0.11284220401545707,-0.14402306688797764,-0.563494327937751,-1.1298995132406104,-1.0695915799906834,49.53230422806726,0.0018698458281745738,0.07186562272788195,29.541596108955588,0.9399138478812146,0.08206953980400061,-0.08157132767786873,-0.6047230530717623,-0.07778895801545482,False,False,False,False,0.05759600177407265,0.04817799851298332,False,False
2019-09-20,0.05708799883723259,4652967,-0.024843033672884145,0.011451243633752191,0.13635811072169768,-0.10534296184781212,-0.5414648304670681,-1.1789298788275264,-1.1381891198357739,47.37499013636294,0.0015491510229228133,0.07168285513685745,29.17510140016689,0.9189477144157753,0.049358700579516024,-0.09631708897271579,-0.6107676219645445,-0.04945950777056529,False,True,False,False,0.05759600177407265,0.04817799851298332,False,False
2019-09-21,0.05741899833083153,3750507,0.005781313347079602,0.03363188133772863,0.10402810310834765,-0.11080214132771578,-0.4414358361496975,-1.1186645059146196,-1.0221764352977019,47.937854445873995,0.001312402703130665,0.0686482572308349,27.975482167897965,0.9180415461257245,0.047560640013114476,-0.08311453742648515,-0.6049550850909537,-0.19395366440380946,False,False,True,False,0.06278900057077408,0.04817799851298332,False,False
2019-09-22,0.05335799977183342,3761184,-0.07335131456722839,-0.11695392661375832,-0.005606678186174801,-0.20274885615660249,-0.5007560203772858,-1.146433992617817,-1.2050236526615679,42.00213845513051,0.0008574028658018063,0.07559487975575233,26.56560307028588,0.9455536961107259,-0.029955077451223524,-0.13989455951273322,-0.6295787744417313,0.002846815110597145,False,False,False,False,0.06278900057077408,0.04817799851298332,False,False
2019-09-23,0.049389999359846115,3647601,-0.07727595377808337,-0.16552819020550993,-0.058471355218661585,-0.3009365889627593,-0.7631155031511015,-1.1900496681291153,-1.2702358674091576,37.16042829325492,0.0002934397787555062,0.0818683489143516,26.70779107393179,0.9710708506649424,-0.10188896826582482,-0.1962275657221701,-0.6535070609047423,-0.030198735291865564,False,True,False,False,0.06278900057077408,0.04817799851298332,False,False
2019-09-24,0.03782200068235397,5034356,-0.2668569996450557,-0.4577299938558779,-0.32337858175271655,-0.5078281781298131,-1.0027405147066917,-1.3709345536921451,-1.5071514339881351,27.28555748994664,-0.0007949384282523379,0.12414582492364733,37.715076055887444,1.312942297967763,-0.304928538564707,-0.3763551718871469,-0.7323000896407995,0.38018275573452254,False,True,False,False,0.06278900057077408,0.04817799851298332,False,True
2019-09-25,0.03798399865627289,4818874,0.004274021104848625,-0.49373648104533746,-0.40704352716605696,-0.47017805313082284,-0.8845474675466,-1.3631236837744112,-1.5663580978084766,27.575806279000773,-0.0014045624804122688,0.12160527665493352,46.56704789383681,1.3135734247328523,-0.2926603304237286,-0.3645840094899737,-0.7289304811195325,-0.042802296857830435,False,True,False,False,0.06278900057077408,0.04817799851298332,False,False
2019-09-26,0.03400300070643425,5222075,-0.1107162062577029,-0.5429881734690262,-0.4490371468022099,-0.5770537397191065,-0.9775299368318636,-1.4506021271349563,-1.6399701203653212,24.941098961503357,-0.001943350242206275,0.14038615979068073,57.12742988383105,1.3537413899239816,-0.35733535545688944,-0.4223731030651717,-0.7553885441799458,0.08367120617804069,False,False,False,False,0.06278900057077408,0.04817799851298332,False,False
