Date,Close,Volume,Log_Return_1d,Log_Return_7d,Log_Return_14d,Log_Return_30d,Log_Return_60d,Log_Return_90d,Log_Return_120d,RSI_14,MACD_Hist,ATR_14_Pct,BB_Width,Volatility_30d,Close_to_SMA20,Close_to_SMA50,Close_to_SMA200,Volume_Change_1d,Bullish_FVG,Bearish_FVG,Swing_High,Swing_Low,Last_Swing_High_Price,Last_Swing_Low_Price,Bullish_BOS,Bearish_BOS
2021-05-08,17.916397094726562,49619140,0.011586716853593049,-0.14197957162895056,0.17214399181388532,0.1924650511985187,0.2990636079661338,0.44197549934910585,1.3446058481872014,52.7136000326286,-0.3105366901127282,0.13018266421966504,55.235692704869756,1.5062456189326894,0.0023967996173171473,0.1940532812269178,1.1058426880568695,-0.015653327486665036,False,False,False,False,25.008407592773438,10.944128036499023,False,False
2021-05-09,19.1575927734375,65097437,0.0669827941692714,-0.03610142891386477,0.17993208308323724,0.22899964223739436,0.4266379721917285,0.3287490750620675,1.3907742705207191,56.84370873065768,-0.2616046200648139,0.12379021794829624,46.28138154811934,1.518919895828835,0.05138193578494446,0.26539026116509623,1.2276612034532617,0.3119420650982665,False,False,False,False,25.008407592773438,10.944128036499023,False,False
2021-05-10,17.13868522644043,67261989,-0.1113609242015449,-0.11900193433382862,-0.11065269536692857,0.23009317792579786,0.3353784959935163,0.08946666400985417,1.355576362094751,49.30078186029042,-0.35810729703143407,0.14291587828128866,42.13583938896511,1.5178361409586574,-0.06652258184115559,0.12485606695684495,0.9741357296970113,0.033250955794158266,False,False,False,False,25.008407592773438,10.944128036499023,False,False
2021-05-11,17.06879234313965,48376680,-0.004086415341156794,-0.038189925186077965,-0.09519535035962705,0.22826300717206152,0.3767099859011567,0.1725313358516589,1.3526792039277558,49.05808214516514,-0.4155090645467394,0.13872187450930218,40.17128570368724,1.5180001953672133,-0.07411997922922514,0.11359764455192758,0.9482612918151437,-0.2807723839388693,False,False,False,False,25.008407592773438,10.944128036499023,False,False
2021-05-12,17.503517150878906,260383708,0.025150053808591952,-0.09040331255242343,-0.11665410475536903,0.18257760239610066,0.4273401505415091,0.14693034993069914,1.2695889599444623,50.68425681748518,-0.4122434926532006,0.15846214396308198,37.380215660341115,1.5023338105583766,-0.055905712336965896,0.13327681935469318,0.9792009637096523,4.382422026480527,False,False,False,False,25.008407592773438,10.944128036499023,False,False
2021-05-13,16.98357391357422,197464602,-0.030155204218830653,-0.052141599005889785,-0.26783563438482577,0.20885684058477658,0.3760951463004647,0.09984645999062006,1.132042272353549,48.68259008728409,-0.43110909246267726,0.1758753529362668,37.56345615360526,1.4913253157001485,-0.08350123823998545,0.09053907744860214,0.9031047183025459,-0.24163994930128274,False,False,False,True,25.008407592773438,15.88981819152832,False,False
2021-05-14,18.01759147644043,107417434,0.05910194832490463,0.01721896939482837,-0.184398988827302,0.30057138146208157,0.4202650986365944,0.13467686768006418,0.9842766734021307,52.684597525199756,-0.36270438327035825,0.16129213531271575,33.35396915519262,1.4950007103085243,-0.03533979355506692,0.1460089389334636,0.9997077827053986,-0.45601675990515,False,False,False,False,25.008407592773438,15.88981819152832,False,False
2021-05-15,16.285457611083984,98119947,-0.10107604639991347,-0.09544379385867806,-0.23742336548762855,0.13072302701211458,0.37178911936167497,0.08630405358966092,0.9412292639436144,46.18675956211509,-0.41888886824987404,0.1766080417831281,32.83178700977083,1.528010994473117,-0.1287372195363387,0.0297594818184514,0.7920463446309323,-0.08655473002641267,False,False,True,False,24.97734832763672,15.88981819152832,False,False
2021-05-16,15.802177429199219,95700729,-0.03012479597970998,-0.19255138400765928,-0.22865281292152406,0.13461519066913036,0.2846924211887653,0.1669481361872065,0.9324265509998966,44.53631219254221,-0.4695645059069288,0.1826654545570348,35.69774939670559,1.5268405857046772,-0.1469668657585468,-0.0066433918201032225,0.7245190905920604,-0.02465572061509569,False,False,False,False,24.97734832763672,15.88981819152832,False,True
2021-05-17,14.422595024108887,77137584,-0.09135166678339453,-0.17254212658950893,-0.2915440609233376,0.05256560164144917,0.0653126831818279,0.07747884648248343,0.847011057218423,40.128066745689246,-0.5702604855903288,0.19626014694963093,41.01690047723951,1.562571580995883,-0.2121877543042099,-0.09565709529298977,0.5623480470696547,-0.1939707794702379,False,True,False,False,24.97734832763672,15.88981819152832,False,False
2021-05-18,18.01483154296875,101305145,0.222399317495858,0.05394360624750585,0.015753681061428035,0.39698007611757546,0.3356949388902476,0.23733441697285174,0.9109603144040449,53.13563730948643,-0.37843998930411316,0.16367735406944067,40.64193468175402,1.676849720708771,-0.011500807709041104,0.12432494729432181,0.9333794089308969,0.31330461425911404,False,False,False,False,24.97734832763672,15.88981819152832,False,False
2021-05-19,11.841280937194824,102479020,-0.41960358235770484,-0.39081002991879077,-0.48121334247121433,-0.029995919909434315,-0.046784123771670495,-0.2959096111484414,0.3148450859043322,37.897340838234754,-0.6356985585982533,0.28852532220036126,47.42710986880922,2.2567449729942153,-0.3312467528407738,-0.2592001062032801,0.26332862742446767,0.011587516112829155,False,False,False,False,24.97734832763672,15.88981819152832,False,True
2021-05-20,12.974809646606445,67651699,0.09141794729544242,-0.2692368784045178,-0.3213784774104074,-0.10176599736387806,0.05296785627720498,-0.26952770733526504,0.4208028132903611,41.229981925152714,-0.6931756499597168,0.264354958704661,49.42283819448185,2.2043006983922213,-0.24879253512444507,-0.18842092591924792,0.37529039751434956,-0.3398483026086705,False,True,False,False,24.97734832763672,15.88981819152832,False,False
2021-05-21,10.248064041137695,61197737,-0.23592094445243497,-0.5642597711818572,-0.5470408017870289,-0.41796500498958017,-0.19904097998535503,-0.3702089650571583,0.37520169749076415,36.1977901174993,-0.8671943382075444,0.34591946692928804,59.36005215840304,2.3258147264819917,-0.3882433022829295,-0.3559581375696213,0.0808099901835798,-0.09539985093352943,False,False,True,False,18.80817222595215,15.88981819152832,False,False
