Date,Log_Return_1d,Log_Return_7d,Log_Return_14d,Log_Return_30d,Log_Return_60d,Log_Return_90d,Log_Return_120d,RSI_14,MACD_Hist,ATR_14_Pct,BB_Width,Volatility_30d,Close_to_SMA20,Close_to_SMA50,Close_to_SMA200,Volume_Change_1d,Bullish_FVG,Bearish_FVG,Swing_High,Swing_Low,Bullish_BOS,Bearish_BOS,Target_7d,Target_14d,Target_28d,Target_42d,Target_60d,Target_90d,Target_120d,Dist_to_Swing_High,Dist_to_Swing_Low,Fear_Greed_Score,SP500_Return_7d,BTC_Volatility_30d,Sentiment_Score,News_Volume,Sentiment_EMA_7d,Sentiment_EMA_30d,FearGreed_Score,FearGreed_EMA_7d,FearGreed_EMA_30d
2021-11-15,-0.0394729766355948,-0.0030736252144043,-0.0046415393182844,-0.142200686613416,0.1458822535892592,0.5230075117366464,0.5438660972893532,47.89297016173301,-0.0048569274309907,0.12050086935914,24.84334862557793,1.3925008244071515,-0.0418273848155503,0.0383945110078902,-0.0668539009306644,-0.1574923924296272,False,False,True,False,False,False,-0.2002416330512207,-0.3121122610731892,-0.6290744782244077,-0.6229664210520204,-0.3776987956504392,-0.6259473915160504,-0.8209103834193109,-0.1933764840574786,0.1235642261777555,72.0,0.0005852370348277,0.5234936780187557,0.1891499,37.0,0.16516858137685242,0.165661125443297,0.44,0.4775772975272804,0.4440699691654364
2021-11-16,-0.0590668028931591,-0.0413294399203524,-0.0610854236082034,-0.1379395774690957,0.1862261731913748,0.135231054081599,0.5661140014172386,44.353597768159176,-0.0079449072669651,0.455675401578611,25.098334369424013,1.3903219695487905,-0.0884181596264229,-0.0259933446148946,-0.1155133523318247,0.3465028292540211,False,False,False,False,False,False,-0.151719630053254,-0.1686917140369591,-0.6228511774096723,-0.6288451422182338,-0.3026878530772665,-0.6075518298375909,-0.7446497338000464,-0.2396413472141661,0.0591208469004676,71.0,0.00071716604667,0.5577571792929696,0.05669184,53.0,0.13804939610539513,0.15863084898186,0.42,0.4631829731454603,0.4425170679289567
2021-11-17,0.0108189342142138,0.0514196259122274,-0.1216771870881714,-0.1002045836088234,0.2103891866426812,-0.416913623476946,0.6628392533434251,45.13422518134664,-0.0090188587022148,0.4583985879599864,21.804999600878222,1.3889276965570114,-0.06760225140116,-0.0213509144793008,-0.0968385193089642,-0.5333597360257496,False,False,False,False,False,False,-0.1696761942500227,-0.1712242945192863,-0.5654782257921306,-0.6280589430646605,-0.3332914331835955,-0.5786399072114801,-0.7533035540496262,-0.2313704163172605,0.0706416145067689,52.0,-0.0027752434969282,0.5571507742206184,0.02870763,43.0,0.11071395434646783,0.15024870576171975,0.04,0.3573872298590952,0.41654822483676596
2021-11-18,-0.1839837851832211,-0.2469153591172046,-0.3111211399101688,-0.2511821854280971,0.0821670094427034,-0.4367271748696038,0.4331051204763806,36.518250721607046,-0.0165671160341171,0.5272031022895654,27.73022204788794,1.5228903111026837,-0.2112537062424386,-0.1886761895377614,-0.2421913331935707,1.318867940501689,False,False,False,False,False,True,-0.0512665735005635,-0.0953604871088833,-0.4758579045327862,-0.5717467932821633,-0.2622913022788027,-0.4924383109395672,-0.7093631148868634,-0.3605391607976583,-0.1092804650880591,54.0,0.0041087321696435,0.575991110064569,0.21156207,57.0,0.1359259825774206,0.15420440650420744,0.08,0.2880404223943214,0.3948354361376198
2021-11-19,0.1063895844289347,-0.2260273773774461,-0.1508889367201283,-0.391314989516408,0.280001672942248,-0.4216938841552941,0.6381066214809639,43.027232336029,-0.0163156986068157,0.4503532904233396,29.44486817767824,1.288012615137096,-0.1148033581972099,-0.1027156455381053,-0.1499248351194443,-0.2907665740561578,False,False,True,False,False,False,-0.2416354341878992,-0.29329461258556,-0.5522328870475524,-0.6148233389401278,-0.3591837128267651,-0.5861236072384092,-0.7193980268975613,-0.8345212046851815,-0.0092926462675868,34.0,0.0109689297285165,0.5722863549050726,0.16229543,62.0,0.14251834465773205,0.1547264080780435,-0.32,0.13603031679574107,0.34871702090293466
2021-11-20,0.0555035269748954,-0.1458063234702369,-0.0697023632756514,-0.2887543046615055,0.4040797552856822,-0.343143823640066,0.5406205839167838,46.37563777274069,-0.0129247630772414,0.400321234915375,29.581836833395865,1.3035113120138582,-0.0583912487235827,-0.0571153755395372,-0.0935838951091554,0.0366756063913025,False,False,False,False,False,False,-0.3104682707225407,-0.4059000372086284,-0.5248209852036743,-0.6014608369173671,-0.4153303464976766,-0.6236823353171113,-0.7623970544222246,-0.8250768755418556,0.0472497422333796,43.0,0.0109689297285165,0.5465749554286945,0.024119113,26.0,0.11291853665345386,0.1463001309530484,-0.14,0.0670227375968058,0.3171868905221002
2021-11-21,-0.0548219129226044,-0.1646334320165355,-0.1011764213742418,-0.4264707501327401,0.2454067679013762,-0.6548849738167318,0.3983824865162803,43.64614736077596,-0.0123021903483041,0.3986966385115177,31.202236048117594,1.2685261970584445,-0.10308197377451,-0.1115222709593952,-0.133338191145158,0.0731483263091905,False,False,False,False,False,True,-0.2805590527138324,-0.412854670135246,-0.5162524790339721,-0.4796120842988123,-0.4129902790281058,-0.5948626744912764,-0.7477410190719219,-0.8344083735636683,-0.0086171360210899,49.0,0.0109689297285165,0.5428436559629789,0.16253105,21.0,0.12532166450495627,0.14734728689539778,-0.02,0.04526705319760435,0.29543289758519053
2021-11-22,-0.0982851828709597,-0.2234456382519004,-0.2265192634663047,-0.5109526918426659,0.2278459035076706,-0.6810809563799074,0.2740425030877823,39.48844081147907,-0.0149268740525032,0.4173788840502268,35.49023973520483,1.301966783067784,-0.178598097262452,-0.1972027253223167,-0.206227190074,0.6667059966685176,False,False,False,True,False,False,-0.1398805347279765,-0.3416707609623145,-0.4944229418294714,-0.3581600634675463,-0.4595545821209914,-0.5958644450536189,-0.7160469318816035,-0.849909342809155,0.0282949372158019,50.0,0.0072158830785669,0.5594594045435903,0.019541958,50.0,0.09887673796545793,0.13910178182775682,0.0,0.03395028989820326,0.27637271064421054
2021-11-23,-0.0001652375386727,-0.1645440728974139,-0.2058735128177664,-0.3596358037207035,0.2817008827698586,-0.5546959628871155,0.3599340719080978,39.48196105089775,-0.0156336791677715,0.3909763148715415,37.875794876955496,1.2089550307939885,-0.1669016989082505,-0.2002886293490553,-0.1992427678330017,-0.6406164762908149,False,True,False,False,False,False,-0.0200076349577328,-0.3306688264468296,-0.491337175708801,0.0563975447801681,-0.5246170850851724,-0.6185359605471858,-0.7184696474122576,-0.8499341413710438,0.0281250383285703,33.0,0.001674946897632,0.5660786937439231,0.16418992,53.0,0.1152050334314356,0.1407203713762479,-0.34,-0.05953728257634756,0.236606729312326
2021-11-24,-0.0105765197501657,-0.1859395268617934,-0.1345199009495661,-0.3830093265426935,0.2386018180655889,-0.4550576944812487,0.3377958112017395,39.04270564848078,-0.0154454319816538,0.3744304352212313,39.520605020992114,1.205668511162163,-0.162983785911836,-0.2111686939742267,-0.1993157355822533,0.031248792998231,False,False,False,False,False,False,-0.0018644536728238,-0.3598487846716411,-0.4788544282504571,0.0287176607606413,-0.4833167880193545,-0.6335060587929843,-0.7064565829399344,-0.8515129520102216,0.017308355814984,42.0,0.0039769105523163,0.5552269854487628,0.056487087,49.0,0.10052554686366391,0.1352859659429641,-0.16,-0.08465296193226067,0.21101919838895014
2021-11-25,-0.0506716775216033,-0.0526274192001757,-0.2995427783173804,-0.455549201096464,0.11796121502992,-0.4284145391542985,0.2774999774922092,36.98359689941871,-0.0160777668136647,0.3725592690148825,43.10922582248667,1.2059908817630116,-0.1926718106654523,-0.2513945127263018,-0.2311806892110328,-0.1205427786506564,False,False,False,False,False,True,-0.0464766101590982,-0.3914496739498341,-0.4457623073501602,0.0484174597942046,-0.4684491720287813,-0.6263671724000109,-0.7028300913968349,-0.8588495901994838,-0.0329561179864048,32.0,0.0039769105523163,0.5410120750742239,0.22380303,45.0,0.13134491726382727,0.14099674417014818,-0.36,-0.15348972144919548,0.17417925010579208
2021-11-26,-0.1175740477979056,-0.2765910514270162,-0.5026184288044624,-0.5283728855430847,-0.0513026723846951,-0.4435782691410574,0.0534143828618538,32.98542144987779,-0.0191877426973983,0.4002996830936643,49.90518881446984,1.2542468216856666,-0.2692562462111928,-0.3351845751213073,-0.3095986574740916,0.3712033456552477,False,False,False,False,False,False,-0.0681191879559156,-0.3486126763577226,-0.4079492543775047,0.0055089168920725,-0.3771206808755566,-0.6041839894757539,-0.6632042756920803,-0.8745067452399682,-0.1402257746104085,47.0,-0.0228678796641313,0.5781780844629658,-0.008671966,37.0,0.0963406963525277,0.13134069832811468,-0.06,-0.13011729108689662,0.15907091138928936
