Date,Log_Return_1d,Log_Return_7d,Log_Return_14d,Log_Return_30d,Log_Return_60d,Log_Return_90d,Log_Return_120d,RSI_14,MACD_Hist,ATR_14_Pct,BB_Width,Volatility_30d,Close_to_SMA20,Close_to_SMA50,Close_to_SMA200,Volume_Change_1d,Bullish_FVG,Bearish_FVG,Swing_High,Swing_Low,Bullish_BOS,Bearish_BOS,Target_7d,Target_14d,Target_28d,Target_42d,Target_60d,Target_90d,Target_120d,Dist_to_Swing_High,Dist_to_Swing_Low,Fear_Greed_Score,SP500_Return_7d,BTC_Volatility_30d,Sentiment_Score,News_Volume,Sentiment_EMA_7d,Sentiment_EMA_30d,FearGreed_Score,FearGreed_EMA_7d,FearGreed_EMA_30d
2018-10-01,-0.014829499066359,0.0535256253539339,0.0767169888106033,-0.3662918463446389,-0.9800087871084138,-1.3965155773629745,-1.98240174303273,43.61920564304102,0.0023757215191807,0.1156152872193973,18.85465774171225,1.31860615655348,0.0079420021108719,-0.1649310011633328,-0.7592105088997662,0.1335182937402461,False,False,False,False,False,False,0.1505187213739813,0.8232758833022814,0.5226070476231631,0.8069753227467046,-0.2765359669934202,-0.4771386409719789,-0.5075144780823263,-0.0693094884187359,0.1269397916348389,35.0,-0.0021040329987271,0.4382518787619132,0.0,0.0,0.0,0.0,-0.3,-0.2725300260808761,-0.40444006519632475
2018-10-02,0.0313171159735515,0.1045804243819876,0.0827790697089725,-0.270558429642907,-1.0029577773831964,-1.3481866876227533,-1.892001492802696,46.22917024050128,0.0024467893351503,0.1083028287730668,18.732690659022783,1.3131712660170558,0.0359189103294348,-0.1322572258729014,-0.7500690374637022,0.1776175178653378,False,False,True,False,False,False,0.0581145266668804,0.6524830814902525,0.501540291572471,0.7628958160974588,-0.2549353094065804,-0.529353083048309,-0.4714356318060002,-0.0867965010451088,0.1627907398813335,33.0,-0.0021322009719992,0.4354089566931573,0.0,0.0,0.0,0.0,-0.34,-0.2893975195606571,-0.40028264163527155
2018-10-03,-0.0180924640009165,0.0821739403485,0.0149554095829734,-0.2581615720232882,-0.9416615914082244,-1.2969497955042073,-1.9444947709716685,44.92669810808336,0.0023425524872416,0.1136189524045407,16.275178729808516,1.3113307930211169,0.0218080757392377,-0.1446152344020019,-0.7533871240661009,0.2761725549580043,False,False,False,False,False,False,0.3576258998051886,0.5784554211375301,0.5043227296600893,0.5213250487403245,-0.2843340455301099,-0.4104021770896263,-0.4877094169840144,-0.1031700370336529,0.1419421600758664,36.0,0.0021009480787328,0.4356706787156837,0.0,0.0,0.0,0.0,-0.28,-0.28704813967049286,-0.3925224712071895
2018-10-04,0.1541344927988053,0.1894324439432077,0.1584351382834541,-0.0822245258991272,-0.7934403824051871,-1.1572948403696373,-1.778029510664764,56.87127591130112,0.0030689800739699,0.1008257238914445,23.03475143558334,1.42749657216172,0.1799418600720576,-0.0010467396899413,-0.7110264290110522,0.1083372353079747,False,False,False,False,True,False,1.0038935727921745,0.3699664244656261,0.2958721060544229,0.3890467582127999,-0.4638508675395923,-0.5134765715307771,-0.5739975560594593,0.0462846870836644,0.3322442881711074,29.0,-0.004796138849159,0.4344583008227458,0.0,0.0,0.0,0.0,-0.42,-0.3202861047528696,-0.3942952150002741
2018-10-05,0.0955194035416481,0.3206519254048104,0.2390819960260596,0.2015062592120531,-0.692770775095065,-1.072244946169059,-1.6228284598115028,62.94433700040991,0.0040181313943135,0.1007840363797487,34.27288587713075,1.3009749365992431,0.2800771480898184,0.0996108753362608,-0.6806377222877071,0.4737886190808567,True,False,False,False,False,False,0.5233296153870253,0.3212767380039422,0.1856298437515707,0.1966568053931154,-0.54208902648414,-0.6232367007186264,-0.5964514273403215,0.1511539793359426,0.4657753599074871,37.0,-0.0070447537526211,0.3361960512902816,0.0,0.0,0.0,0.0,-0.26,-0.30521457856465223,-0.3856310075809016
2018-10-06,-0.1312339485781413,0.0956925317806313,0.0614623210224926,0.0329740793255063,-0.771102480942528,-1.1605252039734073,-1.776831173331448,52.247875115497926,0.0036503606991985,0.1189829694445354,35.62140484930781,1.3814375147874218,0.1150690906013749,-0.0304019569509935,-0.7181925169646222,-0.2376151068633246,False,False,False,False,False,False,0.4366319860406049,0.4514011010024004,0.3454198826712508,0.3317765682831349,-0.4849187486073868,-0.5851929403434486,-0.5666673919537478,0.0095765151140392,0.2855034220956916,34.0,-0.0070447537526211,0.3063919753280209,0.0,0.0,0.0,0.0,-0.32,-0.3089109339234892,-0.38139674902729503
2018-10-07,-0.0501358843709464,0.0666792162976417,0.0549720215286893,-0.0082516384510979,-0.6680237727419928,-1.053223263059563,-1.8579103477814471,49.113700215413175,0.0029910499421941,0.1237036738412608,34.6152958224876,1.3926358989066898,0.0523758212132276,-0.0740803099606745,-0.7303866717607996,-0.2597321313887364,False,True,False,False,False,False,0.6293669901040799,0.6200850896179284,0.4507717860961147,0.5969975191217636,-0.4776213641232805,-0.5917119002870663,-0.501576264041167,-0.039791598718537,0.2226425310942623,29.0,-0.0070447537526211,0.3043702782793446,0.0,0.0,0.0,0.0,-0.42,-0.33668320044261685,-0.38388728134811473
2018-10-08,0.0587041873775764,0.140212902741577,0.1937385280955109,0.2123002753864607,-0.6435659717422529,-0.8633523657184522,-1.6305429252707346,52.70654288042283,0.0027859556876033,0.1132183224030722,34.89142613700487,1.2783726588829196,0.1052467424055077,-0.0144288430515604,-0.7122528446051783,-0.0182472655917268,False,False,True,False,False,False,0.5847424726169381,0.4897332814593875,0.3646420594780079,0.2270738359754049,-0.4833896742027988,-0.594202386613229,-0.5623079789128291,-0.2129530801811793,0.2965653281371758,26.0,-0.010199424689482,0.271130323533158,0.0,0.0,0.0,0.0,-0.48,-0.37251240033196265,-0.3900881019063009
2018-10-09,-0.0524072109229661,0.0564885758450594,0.1610690002270471,0.1069844395487933,-0.6034324031099382,-0.9595096926200792,-1.7756698992926012,49.34642594631964,0.0022458843028721,0.1164478448177908,34.76937433851357,1.2836196346732762,0.04412598540036,-0.0602984807163507,-0.7251475719772512,0.229688780346728,False,False,False,False,False,False,0.5617242177892273,0.5920039490699094,0.4948059127412778,-0.0759089641856534,-0.4568397167172292,-0.566568839433154,-0.5298022367361205,-0.2531378318200686,0.230365773342169,31.0,-0.0116114643794981,0.2690874745157373,0.0,0.0,0.0,0.0,-0.38,-0.37438430024897196,-0.38943725662202344
2018-10-10,0.2311564725507558,0.3057375123967317,0.3879114527452317,0.3221077030381463,-0.2418880205415298,-0.7951516855057573,-1.3422331163016683,61.96705928197203,0.003238934501782,0.1011707791934439,43.36417129859149,1.509383936964409,0.2929832583270779,0.1876032243924755,-0.6513856231018069,0.1922163309143838,False,False,False,False,False,False,0.1626585949516941,0.2082424098189893,0.2054974372704361,-0.2292413602949658,-0.5334670149150025,-0.6627971450687896,-0.6425006547043928,-0.0589115538338131,0.550330252598479,28.0,-0.0486623457642987,0.271285822637148,0.0,0.0,0.0,0.0,-0.44,-0.39078822518672895,-0.39269936909802194
