iter	RMSE
0	0.05384129773
1	0.05364711141
2	0.05336750373
3	0.053106528
4	0.0529521417
5	0.05275807428
6	0.05254683323
7	0.05228709725
8	0.05210713367
9	0.05194265294
10	0.05174258138
11	0.05158784502
12	0.05151006586
13	0.05138635705
14	0.05124180396
15	0.05100529154
16	0.05078946233
17	0.05057069456
18	0.05039698952
19	0.05029809279
20	0.05015029269
21	0.05000784762
22	0.04981583537
23	0.04963877029
24	0.04951938672
25	0.04944189771
26	0.04928049707
27	0.04917320066
28	0.04895240467
29	0.04890160806
30	0.04878285433
31	0.04865844404
32	0.04853062844
33	0.04844198257
34	0.04833088439
35	0.04820262442
36	0.04816685413
37	0.04810621483
38	0.04791606569
39	0.04772101867
40	0.04761447219
41	0.0475164863
42	0.04736290627
43	0.04730693732
44	0.04722986011
45	0.04707173076
46	0.04698893637
